question_id,question,score_baseline,score_kg
1,What is overfitting and how can it be prevented?,3,4
2,Explain how a decision tree works.,3,4
3,What is cross-validation?,3,4
4,What is the class imbalance problem?,3,4
5,How does k-means clustering work?,3,4
6,What is feature selection?,3,4
7,Explain the Apriori algorithm.,3,4
8,What is NoSQL and why is it used?,3,4
9,What is a data warehouse?,3,4
10,What is data quality?,3,4
11,What is a data lake?,3,4
12,What is MongoDB?,3,4
13,What is the data lifecycle?,3,4
14,What is RDF and what is it used for?,3,4
15,Explain what SPARQL is and give an example query.,3,4
16,What is OWL and how is it different from RDFS?,3,4
17,What is a knowledge graph?,3,4
18,What are word embeddings?,3,4
19,What is Retrieval-Augmented Generation (RAG)?,3,4
20,How do large language models relate to knowledge graphs?,3,4
